Customer ID,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,Age,Under 30,Married,Number of Dependents,Population,Referred a Friend,Number of Referrals,Offer,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Device Protection Plan,Premium Tech Support,Streaming Music,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Tenure Bins,Satisfaction Score Label
4598-XLKNJ,33.936291,-118.332639,Female,Yes,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,78,No,Yes,1,27778,Yes,1,Offer C,19.76,12,Yes,No,No,Yes,13.43,0,494.0,2995.07,2,"(24, 48]",2
3192-NQECA,34.031529,-118.491156,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,26,Yes,Yes,0,23559,Yes,4,Offer A,14.79,47,Yes,Yes,Yes,Yes,0.0,0,1005.72,8617.57,2,"(60, 72]",2
0486-HECZI,33.867257,-118.330794,Male,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,37,No,Yes,1,31678,No,0,None,49.06,27,No,No,No,Yes,0.0,0,2698.3,7937.2,1,"(48, 60]",1
4846-WHAFZ,33.972119,-118.020188,Female,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,80,No,Yes,1,26265,Yes,1,Offer C,6.33,14,No,No,No,Yes,0.0,0,234.21,3102.36,2,"(24, 48]",2
5299-RULOA,33.976678,-118.065875,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,62,No,Yes,2,32148,Yes,1,None,24.48,30,No,No,Yes,Yes,0.0,0,244.8,1309.45,2,"(0, 12]",2
0404-SWRVG,33.940619,-117.9513,Male,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,21,Yes,No,2,67354,No,0,Offer E,14.6,71,No,No,Yes,Yes,8.74,0,43.8,264.61,1,"(0, 12]",1
4412-YLTKF,33.989524,-118.089299,Female,Yes,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,72,No,No,1,63288,No,0,Offer C,3.33,18,Yes,No,No,No,0.0,10,89.91,2235.41,1,"(24, 48]",1
6207-WIOLX,33.391181,-118.421305,Female,No,Yes,No,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,27,Yes,Yes,0,3699,Yes,6,Offer C,0.0,48,Yes,No,Yes,Yes,4.48,0,0.0,1498.17,1,"(24, 48]",1
3091-FYHKI,33.798266,-118.300237,Male,No,No,No,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,1,64,No,No,0,24660,No,0,Offer E,0.0,22,No,No,Yes,Yes,0.0,0,0.0,35.45,3,"(0, 12]",3
2372-HWUHI,33.840524,-118.148403,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,1,45,No,No,0,30173,No,0,Offer E,46.84,3,No,No,No,Yes,0.0,0,93.68,174.93,3,"(0, 12]",3
0390-DCFDQ,33.79499,-118.065591,Female,Yes,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,76,No,Yes,2,21343,Yes,1,Offer E,15.28,30,No,No,No,Yes,0.0,0,15.28,85.73,2,"(0, 12]",2
4080-OGPJL,33.736387,-118.284363,Female,No,No,No,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,1,53,No,No,0,58639,No,0,Offer E,48.14,18,No,Yes,Yes,Yes,0.0,0,385.12,948.77,1,"(0, 12]",1
2135-RXIHG,33.822295,-118.26411,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,1,63,No,No,0,55486,No,0,Offer E,14.12,24,No,No,No,Yes,0.0,0,14.12,59.77,1,"(0, 12]",1
3874-EQOEP,33.783047,-118.1486,Male,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,1,32,No,No,4,43467,No,0,Offer E,20.52,28,No,No,Yes,No,36.6,10,143.64,772.54,1,"(0, 12]",1
0867-MKZVY,34.196837,-118.142236,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,1,26,Yes,Yes,1,36243,Yes,5,None,36.6,51,No,No,Yes,Yes,33.43,0,732.0,2290.92,1,"(12, 24]",1
3376-BMGFE,34.1528,-118.000482,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,1,42,No,No,1,41067,No,0,Offer E,33.5,27,No,No,No,Yes,8.74,0,134.0,398.26,1,"(0, 12]",1
3445-HXXGF,34.168686,-118.057505,Male,Yes,Yes,No,No,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,1,66,No,Yes,0,10558,Yes,6,Offer B,0.0,24,Yes,No,No,Yes,40.95,0,0.0,2610.25,1,"(48, 60]",1
1875-QIVME,34.296574,-118.244839,Female,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,1,26,Yes,Yes,3,26753,Yes,1,Offer E,11.51,53,Yes,Yes,Yes,Yes,45.44,0,23.02,220.38,3,"(0, 12]",3
0691-JVSYA,34.167465,-118.165327,Female,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,1,24,Yes,Yes,0,27891,Yes,5,None,40.62,73,Yes,No,Yes,Yes,18.55,0,2152.86,7134.51,1,"(48, 60]",1
2656-FMOKZ,34.139402,-118.128658,Female,Yes,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,1,70,No,No,2,23742,No,0,Offer D,44.07,19,No,No,No,Yes,0.0,0,661.05,1806.75,2,"(12, 24]",2
2070-FNEXE,34.159007,-118.087353,Female,Yes,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,1,77,No,No,2,32369,No,0,Offer E,26.95,18,No,No,No,No,11.05,0,188.65,681.2,2,"(0, 12]",2
6317-YPKDH,34.167926,-118.267539,Female,No,No,No,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,1,54,No,No,0,21990,No,0,Offer E,0.0,27,No,No,No,Yes,0.0,0,0.0,29.95,1,"(0, 12]",1
9367-WXLCH,34.136306,-118.26036,Male,No,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,1,51,No,No,2,17015,No,0,Offer E,25.73,19,No,No,Yes,Yes,33.21,0,205.84,835.28,2,"(0, 12]",2
1918-ZBFQJ,34.162515,-118.203869,Female,No,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,1,48,No,No,3,31297,No,0,None,33.54,76,Yes,No,No,Yes,48.25,0,436.02,1499.42,1,"(12, 24]",1
1024-GUALD,34.182378,-118.262922,Female,No,Yes,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,1,29,Yes,Yes,0,9864,Yes,4,Offer E,0.0,29,No,No,Yes,Yes,0.0,0,0.0,24.8,1,"(0, 12]",1
2472-OVKUP,34.224377,-118.632656,Male,No,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,1,39,No,Yes,2,49242,Yes,5,None,42.08,29,Yes,No,Yes,Yes,0.0,0,252.48,783.48,2,"(0, 12]",2
1285-OKIPP,34.266389,-118.459744,Male,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,1,62,No,No,3,17112,No,0,None,23.2,21,No,No,Yes,Yes,0.0,0,23.2,103.1,2,"(0, 12]",2
7825-ECJRF,34.502432,-118.41459,Female,No,No,Yes,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,1,43,No,No,1,40077,No,0,None,28.35,19,Yes,Yes,Yes,No,21.72,40,538.65,2491.38,1,"(12, 24]",1
7841-TZDMQ,34.231053,-118.338307,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,1,19,Yes,No,0,46639,No,0,None,49.81,41,No,No,Yes,Yes,0.0,0,99.62,184.12,3,"(0, 12]",3
9408-SSNVZ,34.364153,-118.615583,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,1,39,No,No,2,9937,No,0,None,29.4,17,No,No,No,Yes,21.69,0,117.6,364.26,2,"(0, 12]",2
0742-MOABM,34.223768,-118.445461,Male,No,Yes,No,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,1,50,No,Yes,0,66249,Yes,2,None,9.67,22,No,Yes,No,Yes,0.0,0,38.68,218.03,2,"(0, 12]",2
2232-DMLXU,34.17847,-118.459472,Female,No,Yes,No,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,1,22,Yes,Yes,0,23646,No,0,None,35.6,58,No,No,Yes,Yes,0.0,0,35.6,90.8,2,"(0, 12]",2
8937-RDTHP,34.213049,-118.317651,Male,No,No,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,1,40,No,No,1,25882,No,0,None,26.85,11,No,No,Yes,Yes,0.0,0,26.85,111.45,2,"(0, 12]",2
1251-KRREG,34.1692,-118.372498,Male,No,No,No,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,1,22,Yes,No,0,36625,No,0,None,44.31,73,No,No,Yes,Yes,0.0,0,88.62,202.72,3,"(0, 12]",3
0094-OIFMO,34.207295,-118.400022,Female,Yes,No,Yes,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,1,78,No,No,1,57146,No,0,Offer D,11.59,29,No,No,No,No,0.0,120,127.49,1367.79,1,"(0, 12]",1
9947-OTFQU,34.097345,-117.906736,Male,Yes,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,1,65,No,No,0,33817,No,0,Offer D,29.11,29,No,No,No,Yes,0.0,0,436.65,1510.95,1,"(12, 24]",1
0322-YINQP,34.084747,-117.886844,Male,No,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,1,37,No,No,0,17554,No,0,None,11.35,9,No,No,No,Yes,0.0,0,11.35,59.9,1,"(0, 12]",1
4629-NRXKX,34.079934,-118.046695,Female,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,1,47,No,Yes,0,30211,Yes,1,None,46.23,21,No,No,No,Yes,0.0,0,92.46,239.61,1,"(0, 12]",1
9514-JDSKI,34.074492,-118.01462,Male,Yes,Yes,No,No,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,1,77,No,Yes,0,62660,Yes,1,Offer E,0.0,12,No,No,No,Yes,0.0,0,0.0,40.2,2,"(0, 12]",2
4959-JOSRX,34.031441,-117.936436,Female,No,Yes,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,1,41,No,Yes,0,84965,Yes,3,Offer E,30.19,16,No,No,No,Yes,0.0,0,60.38,140.93,2,"(0, 12]",2
7273-TEFQD,34.038983,-117.991372,Male,Yes,No,No,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,1,67,No,No,0,30802,No,0,Offer E,0.0,28,Yes,No,Yes,Yes,0.0,0,0.0,132.2,2,"(0, 12]",2
3606-TWKGI,33.976753,-117.897367,Male,Yes,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,1,68,No,No,0,46342,No,0,Offer D,32.68,11,Yes,No,No,No,0.0,10,424.84,1799.14,1,"(12, 24]",1
6323-AYBRX,34.057256,-117.667677,Male,No,No,No,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.35,1099.6,1,51,No,No,0,54254,No,0,None,26.63,0,No,No,No,No,14.22,0,1571.17,2656.55,3,"(48, 60]",3
4385-GZQXV,34.074087,-117.605618,Female,Yes,No,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,1,68,No,No,0,49474,No,0,Offer D,9.43,9,No,Yes,Yes,Yes,0.0,0,150.88,1662.08,1,"(12, 24]",1
6366-ZGQGL,34.042286,-117.756106,Male,No,No,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,1,60,No,No,0,69974,No,0,Offer E,0.0,29,No,No,No,Yes,0.0,0,0.0,24.8,2,"(0, 12]",2
5940-AHUHD,34.067932,-117.785168,Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,1,30,No,No,0,36057,No,0,Offer E,44.59,41,No,No,No,Yes,0.0,0,44.59,115.19,2,"(0, 12]",2
6432-TWQLB,34.065108,-118.082791,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,1,51,No,Yes,0,61623,Yes,1,Offer E,42.29,16,No,Yes,No,Yes,45.37,0,211.45,567.18,3,"(0, 12]",3
4484-GLZOU,34.102119,-117.815532,Female,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,1,20,Yes,Yes,0,33878,Yes,6,None,10.59,48,Yes,No,Yes,Yes,27.6,0,550.68,6147.93,2,"(48, 60]",2
9512-UIBFX,34.061634,-117.893169,Male,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,1,52,No,Yes,0,30458,Yes,6,None,1.51,28,Yes,No,Yes,Yes,10.17,0,27.18,1796.96,3,"(12, 24]",3
5583-SXDAG,34.074736,-118.145959,Male,No,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,1,41,No,Yes,0,30635,Yes,1,Offer E,19.15,18,No,No,No,No,0.0,10,19.15,99.15,3,"(0, 12]",3
3488-PGMQJ,32.827184,-116.703729,Male,Yes,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,1,66,No,No,0,16486,No,0,None,1.78,7,No,No,No,Yes,0.0,0,14.24,620.79,2,"(0, 12]",2
3580-REOAC,32.67117,-117.00232,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,1,34,No,No,0,17389,No,0,None,49.58,17,No,No,No,Yes,0.0,0,495.8,931.2,2,"(0, 12]",2
7534-BFESC,32.677097,-116.304991,Male,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,1,69,No,No,0,1509,No,0,Offer C,30.87,15,No,No,No,Yes,0.0,0,740.88,2453.58,2,"(12, 24]",2
6390-DSAZX,32.857946,-116.561917,Female,No,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,1,21,Yes,No,0,796,No,0,None,6.19,52,No,No,Yes,Yes,0.0,0,6.19,79.79,1,"(0, 12]",1
8098-LLAZX,32.649787,-116.2237,Female,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,1,74,No,No,0,699,No,0,Offer E,31.61,2,No,No,No,Yes,0.0,0,126.44,522.54,3,"(0, 12]",3
0265-EDXBD,32.830852,-116.444601,Male,Yes,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,1,76,No,Yes,0,81,Yes,2,Offer C,47.34,10,No,No,No,Yes,0.0,0,1514.88,3818.23,2,"(24, 48]",2
7563-BIUPC,33.200369,-116.192313,Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,1,30,No,No,0,2863,No,0,Offer E,5.78,52,No,No,No,No,36.44,40,28.9,448.01,2,"(0, 12]",2
2321-OMBXY,33.098018,-117.258203,Female,No,Yes,No,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,1,55,No,Yes,0,43161,Yes,1,Offer C,42.14,19,No,Yes,Yes,Yes,0.0,0,1601.32,4659.97,1,"(24, 48]",1
2840-XANRC,32.948262,-117.256086,Male,Yes,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,1,77,No,Yes,0,13945,Yes,1,Offer C,16.1,12,Yes,No,Yes,Yes,0.0,0,386.4,2617.45,2,"(12, 24]",2
5020-ZSTTY,32.79697,-116.969082,Female,Yes,No,No,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,1,70,No,No,0,55277,No,0,Offer B,12.08,5,No,Yes,Yes,Yes,0.0,0,652.32,5002.42,1,"(48, 60]",1
5804-LEPIM,33.079834,-117.134275,Female,Yes,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,1,74,No,No,0,17944,No,0,Offer E,13.17,10,No,No,No,Yes,0.0,0,26.34,165.39,3,"(0, 12]",3
0122-OAHPZ,33.254497,-117.285879,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,1,29,Yes,No,0,46893,No,0,None,28.62,26,No,No,Yes,Yes,13.03,0,200.34,698.56,3,"(0, 12]",3
2868-SNELZ,33.384345,-117.072619,Female,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,1,54,No,No,0,1831,No,0,None,5.32,20,Yes,No,No,Yes,0.0,0,10.64,166.44,1,"(0, 12]",1
4322-RCYMT,33.309852,-116.823091,Male,No,Yes,No,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,1,63,No,Yes,0,234,Yes,1,Offer A,29.18,18,Yes,Yes,Yes,No,0.0,90,1984.24,7368.19,3,"(60, 72]",3
6680-NENYN,33.313828,-116.940501,Female,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,1,24,Yes,No,0,2615,No,0,None,12.88,59,Yes,No,Yes,Yes,0.0,0,553.84,5313.69,1,"(24, 48]",1
